STOCKCODE,NAME_ENG,NAME_CHI,BOARD_LOT
0001.HK,CKH HOLDINGS,長和,500
0002.HK,CLP HOLDINGS,中電控股,500
0003.HK,HK & CHINA GAS,香港中華煤氣,1000
0004.HK,WHARF HOLDINGS,九龍倉集團,1000
0005.HK,HSBC HOLDINGS,匯豐控股,400
0006.HK,POWER ASSETS,電能實業,500
0007.HK,HOIFU ENERGY,凱富能源,2000
0008.HK,PCCW,電訊盈科,1000
0009.HK,NINE EXPRESS,九號運通,6000
0010.HK,HANG LUNG GROUP,恒隆集團,1000
0011.HK,HANG SENG BANK,恒生銀行,100
0012.HK,HENDERSON LAND,恒基地產,1000
0014.HK,HYSAN DEV,希慎興業,1000
0015.HK,VANTAGE INT'L,盈信控股,2000
0016.HK,SHK PPT,新鴻基地產,1000
0017.HK,NEW WORLD DEV,新世界發展,1000
0018.HK,ORIENTAL PRESS,東方報業集團,2000
0019.HK,SWIRE PACIFIC A,太古股份公司Ａ,500
0020.HK,WHEELOCK,會德豐,1000
0021.HK,GREAT CHI PPT,大中華地產控股,5000
0022.HK,MEXAN,茂盛控股,40000
0023.HK,BANK OF E ASIA,東亞銀行,200
0024.HK,BURWILL,寶威控股,2000
0025.HK,CHEVALIER INT'L,CHEVALIER INT'L,2000
0026.HK,CHINA MOTOR BUS,中華汽車,200
0027.HK,GALAXY ENT,銀河娛樂,1000
0028.HK,TIAN AN,天安,1000
0029.HK,DYNAMIC HOLD,達力集團,2000
0030.HK,BAN LOONG HOLD,萬隆控股集團,2000
0031.HK,CHINA AEROSPACE,航天控股,2000
0032.HK,CROSS-HAR(HOLD),港通控股,1000
0033.HK,ASIA INV FIN,亞投金融集團,2000
0034.HK,KOWLOON DEV,九龍建業,1000
0035.HK,FE CONSORT INTL,遠東發展,1000
0036.HK,FE HLDGS INTL,遠東控股國際,3000
0037.HK,FE HOTELS,遠東酒店實業,2000
0038.HK,FIRST TRACTOR,第一拖拉機股份,2000
0039.HK,CH BEIDAHUANG,中國北大荒,8000
0040.HK,GOLD PEAK,金山工業,1000
0041.HK,GREAT EAGLE H,鷹君,1000
0042.HK,NE ELECTRIC,東北電氣,2000
0043.HK,C.P. POKPHAND,卜蜂國際,2000
0044.HK,HAECO,香港飛機工程,400
0045.HK,HK&S HOTELS,大酒店,500
0046.HK,COMPUTER & TECH,科聯系統,2000
0047.HK,HOP HING GROUP,合興集團,4000
0048.HK,C AUTO INT DECO,中國汽車內飾,10000
0050.HK,HK FERRY (HOLD),香港小輪（集團）,1000
0051.HK,HARBOUR CENTRE,海港企業,1000
0052.HK,FAIRWOOD HOLD,FAIRWOOD HOLD,500
0053.HK,GUOCO GROUP,國浩集團,1000
0054.HK,HOPEWELL HOLD,合和實業,500
0055.HK,NEWAY GROUP,中星集團控股,10000
0056.HK,ALLIED PPT (HK),聯合地產（香港）,2000
0057.HK,CHEN HSONG HOLD,震雄集團,2000
0058.HK,SUNWAY INT'L,新威國際,20000
0059.HK,SKYFAME REALTY,天譽置業,2000
0060.HK,HK FOOD INV,香港食品投資,2000
0061.HK,GREEN LEADER,綠領控股,10000
0062.HK,TRANSPORT INT'L,載通,400
0063.HK,CHINA GRAPHENE,中國烯谷集團,1000
0064.HK,GET NICE,結好控股,2000
0065.HK,GRAND OCEAN AR,弘海高新資源,4000
0066.HK,MTR CORPORATION,港鐵公司,500
0067.HK,LUMENA NEWMAT,旭光高新材料,2000
0068.HK,LEE HING,利興發展,1000
0069.HK,SHANGRI-LA ASIA,香格里拉（亞洲）,2000
0070.HK,RICH GOLDMAN,金粵控股,10000
0071.HK,MIRAMAR HOTEL,美麗華酒店,1000
0072.HK,MODERN MEDIA,現代傳播,2000
0073.HK,ASIAN CITRUS,亞洲果業,1000
0075.HK,Y.T. REALTY,渝太地產,2000
0076.HK,SOUTH SEA PETRO,南海石油,4000
0077.HK,AMS TRANSPORT,進智公共交通,2000
