STOCKCODE,NAME_ENG,NAME_CHI,BOARD_LOT
0001,CKH HOLDINGS,長和,500
0002,CLP HOLDINGS,中電控股,500
0003,HK & CHINA GAS,香港中華煤氣,"1,000"
0004,WHARF HOLDINGS,九龍倉集團,"1,000"
0005,HSBC HOLDINGS,匯豐控股,400
0006,POWER ASSETS,電能實業,500
0007,HOIFU ENERGY,凱富能源,"2,000"
0008,PCCW,電訊盈科,"1,000"
0009,NINE EXPRESS,九號運通,"6,000"
0010,HANG LUNG GROUP,恒隆集團,"1,000"
0011,HANG SENG BANK,恒生銀行,100
0012,HENDERSON LAND,恒基地產,"1,000"
0014,HYSAN DEV,希慎興業,"1,000"
0015,VANTAGE INT'L,盈信控股,"2,000"
0016,SHK PPT,新鴻基地產,"1,000"
0017,NEW WORLD DEV,新世界發展,"1,000"
0018,ORIENTAL PRESS,東方報業集團,"2,000"
0019,SWIRE PACIFIC A,太古股份公司Ａ,500
0020,WHEELOCK,會德豐,"1,000"
0021,GREAT CHI PPT,大中華地產控股,"5,000"
0022,MEXAN,茂盛控股,"40,000"
0023,BANK OF E ASIA,東亞銀行,200
0024,BURWILL,寶威控股,"2,000"
0025,CHEVALIER INT'L,CHEVALIER INT'L,"2,000"
0026,CHINA MOTOR BUS,中華汽車,200
0027,GALAXY ENT,銀河娛樂,"1,000"
0028,TIAN AN,天安,"1,000"
0029,DYNAMIC HOLD,達力集團,"2,000"
0030,BAN LOONG HOLD,萬隆控股集團,"2,000"
0031,CHINA AEROSPACE,航天控股,"2,000"
0032,CROSS-HAR(HOLD),港通控股,"1,000"
0033,ASIA INV FIN,亞投金融集團,"2,000"
0034,KOWLOON DEV,九龍建業,"1,000"
0035,FE CONSORT INTL,遠東發展,"1,000"
0036,FE HLDGS INTL,遠東控股國際,"3,000"
0037,FE HOTELS,遠東酒店實業,"2,000"
0038,FIRST TRACTOR,第一拖拉機股份,"2,000"
0039,CH BEIDAHUANG,中國北大荒,"8,000"
0040,GOLD PEAK,金山工業,"1,000"
0041,GREAT EAGLE H,鷹君,"1,000"
0042,NE ELECTRIC,東北電氣,"2,000"
0043,C.P. POKPHAND,卜蜂國際,"2,000"
0044,HAECO,香港飛機工程,400
0045,HK&S HOTELS,大酒店,500
0046,COMPUTER & TECH,科聯系統,"2,000"
0047,HOP HING GROUP,合興集團,"4,000"
0048,C AUTO INT DECO,中國汽車內飾,"10,000"
0050,HK FERRY (HOLD),香港小輪（集團）,"1,000"
0051,HARBOUR CENTRE,海港企業,"1,000"
0052,FAIRWOOD HOLD,FAIRWOOD HOLD,500
0053,GUOCO GROUP,國浩集團,"1,000"
0054,HOPEWELL HOLD,合和實業,500
